"// Phenotype data set from Mouse Phenome Database (phenome.jax.org)",,,,,,,,
"// Data set: Willott1    Title: Startle and prepulse inhibition survey of 40 inbred strains of mice    Year: 2002",,,,,,,,
"// Table of individual animal values",,,,,,,,,,,
"// For more info on these data visit phenome.jax.org and type Willott1 into search box",,,,,,,,,,
,,,,,,,,,,,
strain,sex,id,round,bw,PPI_4,PPI_12,PPI_20,PPI_tot,ASR_70,ASR_80,ASR_90,ASR_100,ASR_latency,ASR_habituation
C57BL/10J,m,P504,all,17.7,0.613,0.267,0.247,1.126,120.5,171.5,365.5,653.5,24.85,1.404
C57BL/10J,m,P505,all,18,0.7165,0.4075,0.3595,1.48,158.5,189,341,354.5,26.95,0.855
C57BL/10J,m,P506,all,15,0.482,0.3555,0.423,1.26,68.2,172,268,406,21.4,0.546
C57BL/10J,m,P507,all,16,0.708,0.309,0.298,1.32,112.5,99.85,101.35,377.5,23,0.719
C57BL/10J,m,P508,all,16.4,0.3225,0.412,0.4155,1.1485,68.5,245,297,356,22.9,0.426
C57BL/10J,m,P509,all,18.4,0.7465,0.4285,0.4155,1.59,101.85,232,328,298,24.65,1.029
C57BL/10J,m,P510,all,13.5,0.484,0.6415,0.527,1.655,58.15,126,149.85,193,26.8,0.741
C57BL/6J,f,F14,all,,0.807,0.483,0.707,2,0,135.5,129,261,31.05,0.383
C57BL/6J,f,F15,all,,0.8245,0.635,0.7405,2.2,59.35,67,206,181,30.3,0.415
C57BL/6J,f,F16,all,,0.991,0.5795,0.318,1.89,26.5,47,182.5,197,35.65,1.043
C57BL/6J,f,F21,all,,0.6475,0.627,0.4135,1.69,131.35,205,664.5,403.5,24.95,0.417
C57BL/6J,f,F22,all,,0.55,0.6865,0.683,1.92,163.85,295,265,339,25.9,0.637
C57BL/6J,f,F23,all,,0.648,0.335,0.3085,1.295,78.5,307.5,373,451.5,32.6,0.485
C57BL/6J,f,F24,all,,0.6525,0.3245,0.3855,1.365,100.35,362.5,522,693.5,27,1.100
C57BL/6J,f,F25,all,,0.816,0.4385,0.4685,1.72,91.85,309,279,320,28.65,0.769
C57BL/6J,f,F26,all,,1.0965,0.6015,0.3845,2.085,60.65,129.5,268.5,439,34.8,1.129
C57BL/6J,f,P61,all,16.7,0.8755,0.536,0.3675,1.775,133,262.5,304.5,320.5,26.35,1.198
C57BL/6J,f,P62,all,18.1,1.015,0.632,0.6565,2.3,168,314,314,302.5,29.4,0.917
C57BL/6J,m,F17,all,,1.168,0.483,0.928,2.575,18.5,61.35,120.5,223.5,32.7,0.943
C57BL/6J,m,F18,all,,1.27,0.713,0.873,2.855,43.15,68.7,210,205.5,32.05,0.585
